"Company_Name" "NAICS"
"NATIONAL INSTRUMENTS CORP" 511210
"NATIONAL OILWELL INC" 333132
"NATIONAL RESEARCH CORP" 541990
"NATROL INC" 325411
"NATURES ELEMENTS HOLDING CORP" 453998
"NEOPROBE CORP" 334510
"NEOSE TECHNOLOGIES INC" 325411
"NEOZYME CORP" 325412
"NET PERCEPTIONS INC" 332999
"NETRATINGS INC" 541910
"NETSCOUT SYSTEMS INC" 541512
"NETWORK1 SECURITY SOLUTIONS" 511210
"NEUROBIOLOGICAL TECHNOLOGIES INC" 325414
"NEUROCRINE BIOSCIENCES INC" 325414
"NEUROMEDICAL SYSTEMS INC" 621511
"NEW AMERICAN HEALTHCARE CORP" 623110
"NEW YORK BAGEL ENTRPRS INC" 722211
"NEWCARE HEALTH CORP" 623110
"NEWFIELD EXPLORATION CO" 211111
"NEXAR TECHNOLOGIES INC" 334111
"NEXTERA ENTERPRISES INC" 999990
"NOBLE INTERNATIONAL LTD" 238990
"NOEL GROUP INC" 313113
"NOKIA CORP" 334220
"NORTECH SYSTEMS INC" 334418
"NORTH AMERICAN SCIENTIFIC INC" 339112
"NORTH PITTSBURGH SYSTEMS INC" 517110
"NORTHWEST PIPE CO" 331210
"NORTHWESTERN STEEL & WIRE CO" 331111
"NOTIFY CORP" 334210
"NOVAMED EYECARE INC" 621493
"NOVAMERICAN STEEL INC" 331111
"NOVATEL INC" 334511
"NOVAVAX INC" 325414
"NOVOGEN LTD" 325412
"NSTAR" 22111
"NU SKIN ASIA PACIFIC INC" 424210
"NUCENTRIX BROADBAND NETWORKS INC" 515210
"NUMEREX CORP NY" 334290
"NUTRACEUTICAL INTERNATIONAL CORP" 325411
"NUTRAMAX PRODUCTS INC" 325620
"NUTRITION MANAGEMENT SERVICES CO" 722310
"NVIDIA CORP" 334413
"NYER MEDICAL GROUP INC" 446110
"O CHARLEYS INC" 722110
"O M GROUP INC" 331492
"O M I CORP NEW" 483111
"O REILLY AUTOMOTIVE INC" 441310
"O S I SYSTEMS INC" 334517
"OAKLEY INC" 339115
"OLD AMERICA STORES INC" 451120
"OLD DOMINION FREIGHT LINE INC" 484122
"OLYMPIC STEEL INC" 423510
"OMEGA ENVIRONMENTAL INC" 235950
"OMEGA PROTEIN CORP" 311225
"OMNI MULTIMEDIA GROUP INC" 334611
"OMNOVA SOLUTIONS INC" 325211
"ON ASSIGNMENT INC" 561320
"ONLINE RESOURCES & COMM CORP" 518210
"ONYX PHARMACEUTICALS INC" 325412
"OPEN JOINT STOCK CO VIMPEL COMM" 517212
"OPEN TEXT CORP" 511210
"OPENTV CORP" 511210
"OPTIMAL ROBOTICS CORP" 334119
"OPTION CARE INC" 621498
"ORBIT FR INC" 334515
"ORBITAL SCIENCES CORP" 334220
"ORTHOFIX INTERNATIONAL N V" 339112
"OSTEOTECH INC" 621999
"OWENS ILL INC" 327213
"OXIGENE INC" 325414
"OYO GEOSPACE CORP" 334519
"P C TEL INC" 334220
"P F CHANGS CHINA BISTRO INC" 722110
"P H C INC MASS" 622210
"P L C SYSTEMS INC" 334510
"P L X TECHNOLOGY INC" 334413
"PACIFIC SUNWEAR OF CA INC" 448140
"PACIFICHEALTH LABORATORIES INC" 325411
"PACKETEER INC" 541512
"PACTIV CORP" 326199
"PAN AMERICAN SILVER CORP" 212231
"PANTRY INC" 447110
"PAREXEL INTERNATIONAL CORP" 541710
"PARKERVISION INC" 334220
"PARTNER COMMUNICATIONS CO LTD" 517212
"PAYLESS CASHWAYS INC" 444110
"PAYLESS SHOESOURCE INC" 448210
"PC CONNECTION INC" 454111
"PEAK INTERNATIONAL LTD" 326199
"PEDIATRIC SERVICES AMERICA INC" 621610
"PEGASYSTEMS INC" 511210
"PENN NATIONAL GAMING INC" 713290
"PENNICHUCK CORP" 221310
"PENWEST PHARMACEUTICALS CO" 325412
"PEPSI BOTTLING GROUP INC" 31211
"PERCEPTRON INC" 333314
"PERFICIENT INC" 541519
"PERFORMANCE FOOD GROUP CO" 424410
"PERFORMANCE TECHNOLOGIES INC" 334119
"PERICOM SEMICONDUCTOR CORP" 334413
"PERMA FIX ENVIRONMENTAL SVCS INC" 562211
"PEROT SYSTEMS CORP" 541512
"PERRIGO COMPANY" 325412
"PERVASIVE SOFTWARE INC" 511210
"PETRO CANADA" 324110
"PETSMART INC" 453910
"PFEIFFER VACUUM TECH AG" 333912
"PFSWEB INC" 423430
"PHARMACEUTICAL PRODUCT DEV INC" 541710
"PHARMACYCLICS INC" 325412
"PHILIPPINE LONG DISTANCE TELE CO" 517212
"PHOTOELECTRON CORP" 334517
"PHOTRAN CORP" 327215
"PHYSICIANS CLINICAL LAB INC" 621511
"PHYSICIANS RESOURCE GROUP INC" 621111
"PINNACLE MICRO INC" 334112
"PIZZA INN INC NEW" 4224
"PLANAR SYSTEMS INC" 334419
"PLANTRONICS INC NEW" 334210
"PLAYBOY ENTERPRISES INC" 517510
"PLAYTEX PRODUCTS INC" 322291
"PLUG POWER INC" 335312
"PLUMA INC" 315191
"POLO RALPH LAUREN CORP" 31522
"POLYCOM INC" 334210
"POMEROY COMPUTER RESOURCES INC" 443120
"POPE RESOURCES" 113110
"POWER ONE INC" 334419
"POWERWAVE TECHNOLOGIES INC" 334220
"PRAXAIR INC" 325120
"PRECISION AUTO CARE INC" 533110
"PREMIER LASER SYSTEMS INC" 334510
"PRICESMART INC" 452990
"PRIMUS TELECOM GROUP INC" 517110
"PRINS RECYCLING CORP" 421930
"PRIVATE MEDIA GROUP INC" 511120
"PROFILE TECHNOLOGIES INC" 541990
"PROGEN INDUSTRIES LTD" 325414
"PROGENICS PHARMACEUTICALS INC" 325414
"PROGRESS SOFTWARE CORP" 511210
"PROTOSOURCE CORP" 518111
"PUDGIES CHICKEN INC" 722211
"QAD INC" 511210
"QIAGEN NV" 334516
"QLOGIC CORP" 334413
"QUADRAMED CORP" 511210
"QUAKER FABRIC CORP NEW" 313210
"QUALCOMM INC" 334220
"QUALMARK CORP" 334519
"QUANTA SERVICES INC" 238210
"QUEST DIAGNOSTICS INC" 621511
"QUICKLOGIC CORP" 334413
"QUICKSILVER RESOURCES INC" 211111
"QUIDEL CORP" 325413
"QUIGLEY CORP" 325412
"QWEST COMMUNICATIONS INTL INC" 517110
"R F MICRO DEVICES INC" 334413
"R F MONOLITHICS INC" 334220
"R I T TECHNOLOGIES LTD" 334119
"RADIANT SYSTEMS INC" 541512
"RADIO UNICA COMMUNICATIONS CORP" 51511
"RADISYS CORP" 334119
"RALCORP HOLDINGS INC NEW" 311
"RAYONIER INC" 322110
"REALNETWORKS INC" 511210
"RECYCLING INDUSTRIES INC" 421930
"REDHOOK ALE BREWERY INC" 312120
"REGENERON PHARMACEUTICALS INC" 325412
"REHABCARE CORP" 622310
"RELIANCE STEEL & ALUMINUM CO" 423510
"RELIV INTERNATIONAL INC" 325412
"RENTECH INC" 325311
"REPUBLIC SERVICES INC" 562111
"RES CARE INC" 623311
"RESEARCH IN MOTION LTD" 334220
"RESMED INC" 334510
"RESTORATION HARDWARE INC" 442110
"REVLON INC" 325620
"RITCHIE BROS AUCTIONEERS INC" 561499
"RIVIERA HOLDINGS CORP" 713210
"RIVIERA TOOL COMPANY" 333514
"ROBERDS INC" 442110
"ROCHESTER MEDICAL CORP" 339112
"ROCK OF AGES CORP" 453998
"ROCK TENN CO" 322212
"ROCKWELL INTERNATIONAL CORP NEW" 335314
"ROCKWELL MEDICAL TECH INC" 325412
"ROCKY MOUNTAIN HELICOPTERS INC" 481211
"ROFIN SINAR TECHNOLOGIES INC" 333319
"ROOM PLUS INC" 337122
"ROPER INDUSTRIES INC NEW" 334513
"ROSS TECHNOLOGY INC" 334413
"ROYAL CARIBBEAN CRUISES LTD" 483112
"ROYAL PTT NEDERLAND NV" 517110
"RUBIOS RESTAURANTS INC" 722110
"RUDOLPH TECHNOLOGIES INC" 334513
"RURAL CELLULAR CORP" 517212
"RURAL METRO CORP" 621910
"S B A COMMUNICATIONS CORP" 517910
"S C M MICROSYSTEMS" 334119
"S I G A PHARMACEUTICALS INC" 325414
"S R S LABS INC" 533110
"SAFEWAY INC" 445110
"SAGA COMMUNICATIONS INC" 515112
"SALEM COMMUNICATIONS CORP" 515112
"SALTON MAXIM HOUSEWARES INC" 335211
"SANBORN INC" 333999
"SANCTUARY WOODS MULTIMEDIA CORP" 511210
"SANDISK CORP" 334112
"SANFILIPPO JOHN B & SON" 311911
"SANMINA HOLDINGS INC" 334412
"SAPIENT CORP" 511210
"SAPPI LTD" 322222
"SATCON TECHNOLOGY CORP" 335312
"SAUER INC" 333996
"SCANSOURCE INC" 423430
"SCHEIN HENRY INC" 423450
"SCHNITZER STEEL INDUSTRIES INC" 423930
"SCHWEITZER MAUDUIT INTL INC" 322121
"SCICLONE PHARMACEUTICALS INC" 325412
"SCIENTIFIC LEARNING CORP" 511210
"SCOTTS COMPANY" 3253
"SCRIPPS HOWARD INC" 515120
"SEACOR HOLDINGS INC" 483111
"SEALED AIR CORP NEW" 326112
"SECURE COMPUTING CORP" 511210
"SELECT COMFORT CORP" 337910
"SEMITOOL INC" 333295
"SEMPRA ENERGY" 221210
"SENTRY TECHNOLOGY CORP" 334290
"SEPRACOR INC" 325412
"SHAW COMMUNICATIONS INC" 515210
"SHAW GROUP INC" 541330
"SHEFFIELD MEDICAL TECHS INC" 325412
"SHILOH INDUSTRIES INC" 336370
"SHIRE PHARMACEUTICALS GROUP PLC" 325412
"SHOE CARNIVAL INC" 448210
"SHOE PAVILLION INC" 448210
"SHUFFLE MASTER INC" 339999
"SIGNATURE EYEWARE INC" 339115
"SILGAN HOLDINGS INC" 332431
"SILICON IMAGE INC" 334413
"SILVER STANDARD RESOURCES INC" 523910
"SIMON TRANSPORTATION SVCS INC" 484230
"SIMPSON MANUFACTURING CO INC" 332510
"SIMULATIONS PLUS INC" 511210
"SINCLAIR BROADCAST GROUP INC" 515120
"SIRENA APPAREL GROUP INC" 315239
"SKECHERS U S A INC" 316213
"SMARTALK TELESERVICES INC" 513390
"SMARTIRE SYSTEMS INC" 334513
"SMITH MICRO SOFTWARE INC" 511210
"SMITH MIDLAND CORP" 327390
"SOCKET COMMUNICATIONS INC" 334220
"SOLO SERVE CORP" 452990
"SOLUTIA INC" 325222
"SONIC AUTOMOTIVE INC" 441110
"SONIC CORP" 722211
"SONIC FDRY INC" 511210
"SONICWALL INC" 334220
"SONOSIGHT INC" 334510
"SONUS PHARMACEUTICALS INC" 325413
"SOUTHERN UNION CO NEW" 221210
"SPACEHAB INC" 336419
"SPANISH BROADCASTING SYSTEM INC" 51311
"SPATIALIZER AUDIO LABS INC" 533110
"SPECIALIZED HEALTH PROD INTL INC" 326199
"SPECTRANETICS CORP" 334510
"SPEEDWAY MOTORSPORTS INC" 711212
"SPORT HALEY INC" 31522
"SPORTS CLUB INC" 713940
"ST MARY LAND & EXPLORATION CO" 211111
"STARBUCKS CORP" 722211
"STARTEK INC" 561499
"STARTER CORP" 315
"STATION CASINOS INC" 721120
"STATORDYNE CORP" 335313
"STEEL DYNAMICS INC" 331111
"STEELCASE INC" 337214
"STEIN MART INC" 448140
"STEINER LEISURE LTD" 812112
"STEINWAY MUSICAL INSTRUMENTS INC" 339992
"STERICYCLE INC" 562211
"STERIS CORP" 339113
"STEWART ENTERPRISES INC" 812210
"STILLWATER MINING CO" 212299
"STOLT NIELSEN S A" 483111
"STONE ENERGY CORP" 211111
"STONERIDGE INC" 336322
"STRATASYS INC" 334119
"STRATTEC SECURITY CORP" 336399
"STRAYER EDUCATION INC" 611310
"SUBMICRON SYSTEMS CORP" 333295
"SUBURBAN PROPANE PARTNERS LP" 454312
"SUN HYDRAULICS CORP" 332912
"SUN TELEVISION & APPLIANCES INC" 443112
"SUNCOR INC" 324110
"SUNRISE ENERGY SERVICES INC" 211111
"SUPERGEN INC" 325414
"SURMODICS INC" 325414
"SYKES ENTERPRISES INC" 541519
"SYMYX TECHNOLOGIES INC" 541710
"SYNTEL INC" 541519
"SYQUEST TECHNOLOGY INC" 334112
"SYSTEMSOFT CORP" 511210
"T E P P C O PARTNERS L P" 424710
"T I B C O SOFTWARE INC" 511210
"T J T INC" 336399
"T M C I ELECTRONICS INC" 332116
"T T I TEAM TELECOM INTL LTD" 541512
"TAG IT PACIFIC INC" 4223
"TAITRON COMPONENTS INC" 423690
"TAIWAN SEMICONDUCTOR MFG CO LTD" 334413
"TAKE TWO INTERACTIVE SOFTWR INC" 511210
"TALBOTS INC" 448120
"TALISMAN ENERGY INC" 211111
"TANDY BRANDS ACCESSORIES INC" 316993
"TARRANT APPAREL GROUP" 315212
"TASEKO MINES LTD" 21222
"TECUMSEH PRODUCTS CO" 333415
"TELECHIPS CORP" 334210
"TELECOM CORPORATION NEW ZEALAND" 517110
"TELEDYNE TECHNOLOGIES" 334220
"TELEGROUP INC" 513310
"TELETECH HOLDINGS INC" 561499
"TENFOLD CORP" 511210
"TERAYON COMMUNICATION SYSTEMS" 334418
"TERRA NITROGEN CO LP" 325311
"TESCO CORP" 333132
"TETRA TECH INC NEW" 541620
"TETRA TECHNOLOGIES INC DE" 213112
"THEGLOBE COM" 511120
"THESTREET COM" 518111
"THOMSON MULTIMEDIA" 334220
"TIER TECHNOLOGIES INC" 541512
"TIME WARNER TELECOM INC" 517110
"TITAN PHARMACEUTICALS INC DEL" 325412
"TIVO INC" 517510
"TOLLGRADE COMMUNICATIONS INC" 334515
"TOPS APPLIANCE CITY INC" 443112
"TOTAL S A" 324110
"TOUCHSTONE SOFTWARE CORP" 511210
"TOWER AIR INC" 481111
"TRACTOR SUPPLY CO" 453998
"TRAILER BRIDGE INC" 484122
"TRANSACT TECHNOLOGIES INC" 334119
"TRANSACTION SYS ARCHITECTS INC" 511210
"TRANSPORTADORA DE GAS DEL SUR SA" 211112
"TREX INC" 321219
"TRIAD HOSPITALS INC" 622110
"TRIMBLE NAVIGATION LTD" 334519
"TRIMERIS INC" 325414
"TRIQUINT SEMICONDUCTOR INC" 334413
"TRIZETTO GROUP INC" 511210
"TROPICAL SPORTSWEAR INTL CORP" 315224
"TROY GROUP INC" 541512
"TUESDAY MORNING CORP" 452990
"TUFCO TECHNOLOGIES INC" 323119
"TUMBLEWEED COMMUNICATIONS CORP" 511210
"TUPPERWARE CORP" 326199
"TWEETER HOME ENTRTNMNT GROUP INC" 443112
"TWIN STAR PRODUCTIONS INC" 454110
"U F P TECHNOLOGIES INC" 326140
"U P M KYMMENE CORP" 322121
"U S A CLASSIC INC" 31522
"U S A TRUCK INC" 484121
"U S CONCRETE INC" 327320
"U S E C INC" 325188
"U S ENERGY SYSTEMS INC" 221119
"U S G CORP" 327420
"U S LAN SYSTEMS CORPORATION" 511210
"U S PHYSICAL THERAPY INC" 621340
"U S XPRESS ENTERPRISES INC" 484121
"ULTIMATE ELECTRONICS INC" 443112
"ULTIMATE SOFTWARE GROUP" 511210
"ULTRAFEM INC" 326199
"ULTRALIFE BATTERIES INC" 335912
"ULTRATECH STEPPER INC" 333295
"UNIDIGITAL INC" 541430
"UNISON HEALTHCARE CORP" 623110
"UNITED AMERICAL HEALTHCARE CORP" 524298
"UNITED NATURAL FOODS INC" 424490
"UNITED PARCEL SERVICE INC" 492110
"UNITED THERAPEUTICS CORP" 325412
"UNIVERSAL ELECTRONICS INC" 334310
"UNIVERSAL FOREST PRODUCTS INC" 321999
"UNIVERSAL STNLESS & ALY PRODS IN" 331111
"URBAN OUTFITTERS INC" 448140
"UROLOGIX INC" 334510
"UROMED CORP" 339113
"USANA INC" 325412
"USTEL INC" 513310
"VAALCO ENERGY INC" 211111
"VAIL RESORTS INC" 713920
"VALASSIS COMMUNICATIONS INC" 541870
"VALERO ENERGY CORP NEW" 324110
"VALUEVISION INTERNATIONAL INC" 454113
"VANGUARD AIRLINES INC" 481111
"VARIAN INC" 334516
"VEECO INSTRUMENTS INC DEL" 333295
"VENTANA MEDICAL SYSTEMS INC" 325413
"VENTURE SEISMIC LTD" 541360
"VERTEX PHARMACEUTICALS INC" 325412
"VIASAT INC" 334220
"VICAL INC" 325414
"VICOR CORPORATION" 334419
"VIROPHARMA" 325412
"VISION TWENTY ONE INC" 621491
"VITAL SIGNS INC" 339112
"VITRAN CORP INC" 484122
"VIVUS INC" 325412
"VOXEL" 334510
"WABASH NATIONAL CORP" 336212
"WADDELL & REED FINANCIAL INC" 523120
"WARWICK VALLEY TELEPHONE CO" 517110
"WASTE CONNECTIONS INC" 562111
"WATERS CORP" 334516
"WATSON PHARMACEUTICALS INC" 325412
"WAVECOM SA" 334220
"WESCAST INDUSTRIES INC" 336399
"WESCO INTERNATIONAL INC" 423610
"WEST MARINE INC" 441222
"WESTERN POWER & EQUIPMENT CORP" 423810
"WET SEAL INC" 448120
"WHOLE FOODS MARKET INC" 445110
"WILD OATS MARKETS INC" 445110
"WILLAMETTE VALLEY VINYDS INC" 312130
"WILLBROS GROUP INC" 237120
"WILSONS LEATHER EXPERTS" 448190
"WIND RIVER SYSTEMS INC" 541511
"WINLAND ELECTRONICS INC" 334519
"WIRELESS ONE INC" 513220
"WOLVERINE TUBE INC" 331421
"WOODWARD GOVERNOR CO" 335314
"WORLDGATE COMMUNICATIONS INC" 541512
"X M SATELLITE RADIO HLDGS INC" 515112
"XATA CORP" 334111
"XILINX INC" 334413
"YAHOO INC" 518111
"YES ENTERTAINMENT INC" 339932
"YOUBET COM" 713290
"YOUNG BROADCASTING INC" 515120
"YOUNG INNOVATIONS INC" 339114
"ZALE CORP NEW" 448310
"ZAMS INC" 4511
"ZEBRA TECHNOLOGIES CORP" 333993
"ZOLL MEDICAL CORP" 334510
"ZOLTEK COMPANIES INC" 335991
"ZOOM TELEPHONICS INC" 334210
"ZORAN CORP" 334413
