"Company_Name" "DNUM"
"NATIONAL INSTRUMENTS CORP" 7372
"NATIONAL OILWELL INC" 3533
"NATIONAL RESEARCH CORP" 7389
"NATROL INC" 2833
"NATURES ELEMENTS HOLDING CORP" 5990
"NEOPROBE CORP" 3845
"NEOSE TECHNOLOGIES INC" 2833
"NEOZYME CORP" 2835
"NET PERCEPTIONS INC" 3490
"NETRATINGS INC" 8700
"NETSCOUT SYSTEMS INC" 7373
"NETWORK1 SECURITY SOLUTIONS" 7372
"NEUROBIOLOGICAL TECHNOLOGIES INC" 2836
"NEUROCRINE BIOSCIENCES INC" 2836
"NEUROMEDICAL SYSTEMS INC" 8071
"NEW AMERICAN HEALTHCARE CORP" 8051
"NEW YORK BAGEL ENTRPRS INC" 5812
"NEWCARE HEALTH CORP" 8051
"NEWFIELD EXPLORATION CO" 1311
"NEXAR TECHNOLOGIES INC" 3571
"NEXTERA ENTERPRISES INC" 9995
"NOBLE INTERNATIONAL LTD" 1700
"NOEL GROUP INC" 2200
"NOKIA CORP" 3663
"NORTECH SYSTEMS INC" 3679
"NORTH AMERICAN SCIENTIFIC INC" 3829
"NORTH PITTSBURGH SYSTEMS INC" 4813
"NORTHWEST PIPE CO" 3317
"NORTHWESTERN STEEL & WIRE CO" 3312
"NOTIFY CORP" 3661
"NOVAMED EYECARE INC" 8011
"NOVAMERICAN STEEL INC" 3312
"NOVATEL INC" 3812
"NOVAVAX INC" 2836
"NOVOGEN LTD" 2834
"NSTAR" 4911
"NU SKIN ASIA PACIFIC INC" 5122
"NUCENTRIX BROADBAND NETWORKS INC" 4841
"NUMEREX CORP NY" 3669
"NUTRACEUTICAL INTERNATIONAL CORP" 2833
"NUTRAMAX PRODUCTS INC" 2844
"NUTRITION MANAGEMENT SERVICES CO" 5812
"NVIDIA CORP" 3674
"NYER MEDICAL GROUP INC" 5912
"O CHARLEYS INC" 5812
"O M GROUP INC" 3341
"O M I CORP NEW" 4412
"O REILLY AUTOMOTIVE INC" 5531
"O S I SYSTEMS INC" 3845
"OAKLEY INC" 3851
"OLD AMERICA STORES INC" 5945
"OLD DOMINION FREIGHT LINE INC" 4213
"OLYMPIC STEEL INC" 5051
"OMEGA ENVIRONMENTAL INC" 1700
"OMEGA PROTEIN CORP" 2070
"OMNI MULTIMEDIA GROUP INC" 7370
"OMNOVA SOLUTIONS INC" 2821
"ON ASSIGNMENT INC" 7363
"ONLINE RESOURCES & COMM CORP" 7374
"ONYX PHARMACEUTICALS INC" 2834
"OPEN JOINT STOCK CO VIMPEL COMM" 4812
"OPEN TEXT CORP" 7372
"OPENTV CORP" 7372
"OPTIMAL ROBOTICS CORP" 3578
"OPTION CARE INC" 8093
"ORBIT FR INC" 3825
"ORBITAL SCIENCES CORP" 3663
"ORTHOFIX INTERNATIONAL N V" 3841
"OSTEOTECH INC" 8090
"OWENS ILL INC" 3221
"OXIGENE INC" 2836
"OYO GEOSPACE CORP" 3829
"P C TEL INC" 3663
"P F CHANGS CHINA BISTRO INC" 5812
"P H C INC MASS" 8060
"P L C SYSTEMS INC" 3845
"P L X TECHNOLOGY INC" 3674
"PACIFIC SUNWEAR OF CA INC" 5651
"PACIFICHEALTH LABORATORIES INC" 2833
"PACKETEER INC" 7373
"PACTIV CORP" 3089
"PAN AMERICAN SILVER CORP" 1000
"PANTRY INC" 5500
"PAREXEL INTERNATIONAL CORP" 8731
"PARKERVISION INC" 3663
"PARTNER COMMUNICATIONS CO LTD" 4812
"PAYLESS CASHWAYS INC" 5211
"PAYLESS SHOESOURCE INC" 5661
"PC CONNECTION INC" 5961
"PEAK INTERNATIONAL LTD" 3089
"PEDIATRIC SERVICES AMERICA INC" 8082
"PEGASYSTEMS INC" 7372
"PENN NATIONAL GAMING INC" 7990
"PENNICHUCK CORP" 4941
"PENWEST PHARMACEUTICALS CO" 2834
"PEPSI BOTTLING GROUP INC" 2086
"PERCEPTRON INC" 3827
"PERFICIENT INC" 7370
"PERFORMANCE FOOD GROUP CO" 5141
"PERFORMANCE TECHNOLOGIES INC" 3576
"PERICOM SEMICONDUCTOR CORP" 3674
"PERMA FIX ENVIRONMENTAL SVCS INC" 4955
"PEROT SYSTEMS CORP" 7373
"PERRIGO COMPANY" 2834
"PERVASIVE SOFTWARE INC" 7372
"PETRO CANADA" 2911
"PETSMART INC" 5990
"PFEIFFER VACUUM TECH AG" 3560
"PFSWEB INC" 5045
"PHARMACEUTICAL PRODUCT DEV INC" 8731
"PHARMACYCLICS INC" 2835
"PHILIPPINE LONG DISTANCE TELE CO" 4812
"PHOTOELECTRON CORP" 3844
"PHOTRAN CORP" 3231
"PHYSICIANS CLINICAL LAB INC" 8071
"PHYSICIANS RESOURCE GROUP INC" 8011
"PINNACLE MICRO INC" 3572
"PIZZA INN INC NEW" 5140
"PLANAR SYSTEMS INC" 3679
"PLANTRONICS INC NEW" 3661
"PLAYBOY ENTERPRISES INC" 4841
"PLAYTEX PRODUCTS INC" 2670
"PLUG POWER INC" 3621
"PLUMA INC" 2253
"POLO RALPH LAUREN CORP" 2320
"POLYCOM INC" 3661
"POMEROY COMPUTER RESOURCES INC" 5045
"POPE RESOURCES" 800
"POWER ONE INC" 3679
"POWERWAVE TECHNOLOGIES INC" 3663
"PRAXAIR INC" 2810
"PRECISION AUTO CARE INC" 6794
"PREMIER LASER SYSTEMS INC" 3845
"PRICESMART INC" 5331
"PRIMUS TELECOM GROUP INC" 4813
"PRINS RECYCLING CORP" 5090
"PRIVATE MEDIA GROUP INC" 2721
"PROFILE TECHNOLOGIES INC" 7389
"PROGEN INDUSTRIES LTD" 2836
"PROGENICS PHARMACEUTICALS INC" 2836
"PROGRESS SOFTWARE CORP" 7372
"PROTOSOURCE CORP" 7370
"PUDGIES CHICKEN INC" 5812
"QAD INC" 7372
"QIAGEN NV" 3826
"QLOGIC CORP" 3674
"QUADRAMED CORP" 7372
"QUAKER FABRIC CORP NEW" 2221
"QUALCOMM INC" 3663
"QUALMARK CORP" 3829
"QUANTA SERVICES INC" 1731
"QUEST DIAGNOSTICS INC" 8071
"QUICKLOGIC CORP" 3674
"QUICKSILVER RESOURCES INC" 1311
"QUIDEL CORP" 2835
"QUIGLEY CORP" 2834
"QWEST COMMUNICATIONS INTL INC" 4813
"R F MICRO DEVICES INC" 3674
"R F MONOLITHICS INC" 3663
"R I T TECHNOLOGIES LTD" 3576
"RADIANT SYSTEMS INC" 7373
"RADIO UNICA COMMUNICATIONS CORP" 4832
"RADISYS CORP" 3577
"RALCORP HOLDINGS INC NEW" 2000
"RAYONIER INC" 2611
"REALNETWORKS INC" 7372
"RECYCLING INDUSTRIES INC" 5093
"REDHOOK ALE BREWERY INC" 2082
"REGENERON PHARMACEUTICALS INC" 2834
"REHABCARE CORP" 8060
"RELIANCE STEEL & ALUMINUM CO" 5051
"RELIV INTERNATIONAL INC" 2834
"RENTECH INC" 2870
"REPUBLIC SERVICES INC" 4953
"RES CARE INC" 8050
"RESEARCH IN MOTION LTD" 3663
"RESMED INC" 3845
"RESTORATION HARDWARE INC" 5712
"REVLON INC" 2844
"RITCHIE BROS AUCTIONEERS INC" 7389
"RIVIERA HOLDINGS CORP" 7990
"RIVIERA TOOL COMPANY" 3540
"ROBERDS INC" 5712
"ROCHESTER MEDICAL CORP" 3841
"ROCK OF AGES CORP" 5990
"ROCK TENN CO" 2650
"ROCKWELL INTERNATIONAL CORP NEW" 3620
"ROCKWELL MEDICAL TECH INC" 2834
"ROCKY MOUNTAIN HELICOPTERS INC" 4522
"ROFIN SINAR TECHNOLOGIES INC" 3690
"ROOM PLUS INC" 2511
"ROPER INDUSTRIES INC NEW" 3823
"ROSS TECHNOLOGY INC" 3674
"ROYAL CARIBBEAN CRUISES LTD" 4400
"ROYAL PTT NEDERLAND NV" 4813
"RUBIOS RESTAURANTS INC" 5812
"RUDOLPH TECHNOLOGIES INC" 3823
"RURAL CELLULAR CORP" 4812
"RURAL METRO CORP" 4100
"S B A COMMUNICATIONS CORP" 4899
"S C M MICROSYSTEMS" 3577
"S I G A PHARMACEUTICALS INC" 2836
"S R S LABS INC" 6794
"SAFEWAY INC" 5411
"SAGA COMMUNICATIONS INC" 4832
"SALEM COMMUNICATIONS CORP" 4832
"SALTON MAXIM HOUSEWARES INC" 3634
"SANBORN INC" 3569
"SANCTUARY WOODS MULTIMEDIA CORP" 7372
"SANDISK CORP" 3572
"SANFILIPPO JOHN B & SON" 2060
"SANMINA HOLDINGS INC" 3672
"SAPIENT CORP" 7372
"SAPPI LTD" 2670
"SATCON TECHNOLOGY CORP" 3621
"SAUER INC" 3590
"SCANSOURCE INC" 5045
"SCHEIN HENRY INC" 5047
"SCHNITZER STEEL INDUSTRIES INC" 5093
"SCHWEITZER MAUDUIT INTL INC" 2621
"SCICLONE PHARMACEUTICALS INC" 2834
"SCIENTIFIC LEARNING CORP" 7372
"SCOTTS COMPANY" 2870
"SCRIPPS HOWARD INC" 4833
"SEACOR HOLDINGS INC" 4412
"SEALED AIR CORP NEW" 2670
"SECURE COMPUTING CORP" 7372
"SELECT COMFORT CORP" 2510
"SEMITOOL INC" 3559
"SEMPRA ENERGY" 4932
"SENTRY TECHNOLOGY CORP" 3669
"SEPRACOR INC" 2834
"SHAW COMMUNICATIONS INC" 4841
"SHAW GROUP INC" 8711
"SHEFFIELD MEDICAL TECHS INC" 2834
"SHILOH INDUSTRIES INC" 3460
"SHIRE PHARMACEUTICALS GROUP PLC" 2834
"SHOE CARNIVAL INC" 5661
"SHOE PAVILLION INC" 5661
"SHUFFLE MASTER INC" 3990
"SIGNATURE EYEWARE INC" 3851
"SILGAN HOLDINGS INC" 3411
"SILICON IMAGE INC" 3674
"SILVER STANDARD RESOURCES INC" 6795
"SIMON TRANSPORTATION SVCS INC" 4213
"SIMPSON MANUFACTURING CO INC" 3420
"SIMULATIONS PLUS INC" 7372
"SINCLAIR BROADCAST GROUP INC" 4833
"SIRENA APPAREL GROUP INC" 2330
"SKECHERS U S A INC" 3140
"SMARTALK TELESERVICES INC" 4899
"SMARTIRE SYSTEMS INC" 3823
"SMITH MICRO SOFTWARE INC" 7372
"SMITH MIDLAND CORP" 3272
"SOCKET COMMUNICATIONS INC" 3663
"SOLO SERVE CORP" 5331
"SOLUTIA INC" 2820
"SONIC AUTOMOTIVE INC" 5500
"SONIC CORP" 5812
"SONIC FDRY INC" 7372
"SONICWALL INC" 3663
"SONOSIGHT INC" 3845
"SONUS PHARMACEUTICALS INC" 2835
"SOUTHERN UNION CO NEW" 4924
"SPACEHAB INC" 3760
"SPANISH BROADCASTING SYSTEM INC" 4832
"SPATIALIZER AUDIO LABS INC" 6794
"SPECIALIZED HEALTH PROD INTL INC" 3089
"SPECTRANETICS CORP" 3845
"SPEEDWAY MOTORSPORTS INC" 7948
"SPORT HALEY INC" 2320
"SPORTS CLUB INC" 7990
"ST MARY LAND & EXPLORATION CO" 1311
"STARBUCKS CORP" 5812
"STARTEK INC" 7389
"STARTER CORP" 2300
"STATION CASINOS INC" 7990
"STATORDYNE CORP" 3613
"STEEL DYNAMICS INC" 3312
"STEELCASE INC" 2522
"STEIN MART INC" 5651
"STEINER LEISURE LTD" 7200
"STEINWAY MUSICAL INSTRUMENTS INC" 3931
"STERICYCLE INC" 4955
"STERIS CORP" 3842
"STEWART ENTERPRISES INC" 7200
"STILLWATER MINING CO" 1090
"STOLT NIELSEN S A" 4412
"STONE ENERGY CORP" 1311
"STONERIDGE INC" 3679
"STRATASYS INC" 3577
"STRATTEC SECURITY CORP" 3714
"STRAYER EDUCATION INC" 8200
"SUBMICRON SYSTEMS CORP" 3559
"SUBURBAN PROPANE PARTNERS LP" 5900
"SUN HYDRAULICS CORP" 3490
"SUN TELEVISION & APPLIANCES INC" 5731
"SUNCOR INC" 2911
"SUNRISE ENERGY SERVICES INC" 1311
"SUPERGEN INC" 2836
"SURMODICS INC" 2836
"SYKES ENTERPRISES INC" 7370
"SYMYX TECHNOLOGIES INC" 8731
"SYNTEL INC" 7370
"SYQUEST TECHNOLOGY INC" 3572
"SYSTEMSOFT CORP" 7372
"T E P P C O PARTNERS L P" 5171
"T I B C O SOFTWARE INC" 7372
"T J T INC" 3714
"T M C I ELECTRONICS INC" 3460
"T T I TEAM TELECOM INTL LTD" 7373
"TAG IT PACIFIC INC" 5130
"TAITRON COMPONENTS INC" 5065
"TAIWAN SEMICONDUCTOR MFG CO LTD" 3674
"TAKE TWO INTERACTIVE SOFTWR INC" 7372
"TALBOTS INC" 5621
"TALISMAN ENERGY INC" 1311
"TANDY BRANDS ACCESSORIES INC" 3100
"TARRANT APPAREL GROUP" 2330
"TASEKO MINES LTD" 1040
"TECUMSEH PRODUCTS CO" 3585
"TELECHIPS CORP" 3661
"TELECOM CORPORATION NEW ZEALAND" 4813
"TELEDYNE TECHNOLOGIES" 3663
"TELEGROUP INC" 4813
"TELETECH HOLDINGS INC" 7389
"TENFOLD CORP" 7372
"TERAYON COMMUNICATION SYSTEMS" 3661
"TERRA NITROGEN CO LP" 2870
"TESCO CORP" 3533
"TETRA TECH INC NEW" 8711
"TETRA TECHNOLOGIES INC DE" 1389
"THEGLOBE COM" 2721
"THESTREET COM" 7370
"THOMSON MULTIMEDIA" 3663
"TIER TECHNOLOGIES INC" 7370
"TIME WARNER TELECOM INC" 4813
"TITAN PHARMACEUTICALS INC DEL" 2834
"TIVO INC" 4841
"TOLLGRADE COMMUNICATIONS INC" 3825
"TOPS APPLIANCE CITY INC" 5731
"TOTAL S A" 2911
"TOUCHSTONE SOFTWARE CORP" 7372
"TOWER AIR INC" 4512
"TRACTOR SUPPLY CO" 5200
"TRAILER BRIDGE INC" 4213
"TRANSACT TECHNOLOGIES INC" 3577
"TRANSACTION SYS ARCHITECTS INC" 7372
"TRANSPORTADORA DE GAS DEL SUR SA" 4922
"TREX INC" 2400
"TRIAD HOSPITALS INC" 8062
"TRIMBLE NAVIGATION LTD" 3829
"TRIMERIS INC" 2836
"TRIQUINT SEMICONDUCTOR INC" 3674
"TRIZETTO GROUP INC" 7372
"TROPICAL SPORTSWEAR INTL CORP" 2320
"TROY GROUP INC" 7373
"TUESDAY MORNING CORP" 5331
"TUFCO TECHNOLOGIES INC" 2750
"TUMBLEWEED COMMUNICATIONS CORP" 7372
"TUPPERWARE CORP" 3089
"TWEETER HOME ENTRTNMNT GROUP INC" 5731
"TWIN STAR PRODUCTIONS INC" 5961
"U F P TECHNOLOGIES INC" 3086
"U P M KYMMENE CORP" 2621
"U S A CLASSIC INC" 2320
"U S A TRUCK INC" 4213
"U S CONCRETE INC" 3270
"U S E C INC" 2810
"U S ENERGY SYSTEMS INC" 4991
"U S G CORP" 3270
"U S LAN SYSTEMS CORPORATION" 7372
"U S PHYSICAL THERAPY INC" 8000
"U S XPRESS ENTERPRISES INC" 4213
"ULTIMATE ELECTRONICS INC" 5731
"ULTIMATE SOFTWARE GROUP" 7372
"ULTRAFEM INC" 3089
"ULTRALIFE BATTERIES INC" 3690
"ULTRATECH STEPPER INC" 3559
"UNIDIGITAL INC" 7330
"UNISON HEALTHCARE CORP" 8051
"UNITED AMERICAL HEALTHCARE CORP" 6411
"UNITED NATURAL FOODS INC" 5140
"UNITED PARCEL SERVICE INC" 4210
"UNITED THERAPEUTICS CORP" 2834
"UNIVERSAL ELECTRONICS INC" 3651
"UNIVERSAL FOREST PRODUCTS INC" 2421
"UNIVERSAL STNLESS & ALY PRODS IN" 3312
"URBAN OUTFITTERS INC" 5651
"UROLOGIX INC" 3845
"UROMED CORP" 3842
"USANA INC" 2834
"USTEL INC" 4813
"VAALCO ENERGY INC" 1311
"VAIL RESORTS INC" 7990
"VALASSIS COMMUNICATIONS INC" 7310
"VALERO ENERGY CORP NEW" 2911
"VALUEVISION INTERNATIONAL INC" 5961
"VANGUARD AIRLINES INC" 4512
"VARIAN INC" 3826
"VEECO INSTRUMENTS INC DEL" 3559
"VENTANA MEDICAL SYSTEMS INC" 2835
"VENTURE SEISMIC LTD" 1382
"VERTEX PHARMACEUTICALS INC" 2834
"VIASAT INC" 3663
"VICAL INC" 2836
"VICOR CORPORATION" 3679
"VIROPHARMA" 2834
"VISION TWENTY ONE INC" 6324
"VITAL SIGNS INC" 3841
"VITRAN CORP INC" 4213
"VIVUS INC" 2834
"VOXEL" 3845
"WABASH NATIONAL CORP" 3715
"WADDELL & REED FINANCIAL INC" 6211
"WARWICK VALLEY TELEPHONE CO" 4813
"WASTE CONNECTIONS INC" 4953
"WATERS CORP" 3826
"WATSON PHARMACEUTICALS INC" 2834
"WAVECOM SA" 3663
"WESCAST INDUSTRIES INC" 3714
"WESCO INTERNATIONAL INC" 5063
"WEST MARINE INC" 5500
"WESTERN POWER & EQUIPMENT CORP" 5082
"WET SEAL INC" 5621
"WHOLE FOODS MARKET INC" 5411
"WILD OATS MARKETS INC" 5411
"WILLAMETTE VALLEY VINYDS INC" 2084
"WILLBROS GROUP INC" 1623
"WILSONS LEATHER EXPERTS" 5600
"WIND RIVER SYSTEMS INC" 7371
"WINLAND ELECTRONICS INC" 3829
"WIRELESS ONE INC" 4841
"WOLVERINE TUBE INC" 3350
"WOODWARD GOVERNOR CO" 3620
"WORLDGATE COMMUNICATIONS INC" 7373
"X M SATELLITE RADIO HLDGS INC" 4832
"XATA CORP" 3571
"XILINX INC" 3674
"YAHOO INC" 7370
"YES ENTERTAINMENT INC" 3944
"YOUBET COM" 7990
"YOUNG BROADCASTING INC" 4833
"YOUNG INNOVATIONS INC" 3843
"ZALE CORP NEW" 5944
"ZAMS INC" 5940
"ZEBRA TECHNOLOGIES CORP" 3560
"ZOLL MEDICAL CORP" 3845
"ZOLTEK COMPANIES INC" 3620
"ZOOM TELEPHONICS INC" 3661
"ZORAN CORP" 3674
